,Day,Hands,Rake,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Treat,After
0,2014-09-01,72192.0,8234.05,0,0,0,0,0,0,0,0
1,2014-09-02,77206.0,8963.81,1,0,0,0,0,0,0,0
2,2014-09-03,78312.0,9250.03,0,1,0,0,0,0,0,0
3,2014-09-04,62924.0,7867.1,0,0,1,0,0,0,0,0
4,2014-09-05,74840.0,8959.4,0,0,0,1,0,0,0,0
5,2014-09-06,50440.0,6255.61,0,0,0,0,1,0,0,0
6,2014-09-07,56544.0,6602.58,0,0,0,0,0,1,0,0
7,2014-09-08,60808.0,7456.95,0,0,0,0,0,0,0,0
8,2014-09-09,51498.0,6511.8,1,0,0,0,0,0,0,0
9,2014-09-10,47196.0,5704.88,0,1,0,0,0,0,0,0
10,2014-09-11,51158.0,5967.8,0,0,1,0,0,0,0,0
11,2014-09-12,46642.0,5666.13,0,0,0,1,0,0,0,0
12,2014-09-13,66278.0,8014.28,0,0,0,0,1,0,0,0
13,2014-09-14,65928.0,7514.44,0,0,0,0,0,1,0,0
14,2014-09-15,48756.0,5857.13,0,0,0,0,0,0,0,0
15,2014-09-16,55812.0,6769.61,1,0,0,0,0,0,0,0
16,2014-09-17,64522.0,8020.38,0,1,0,0,0,0,0,0
17,2014-09-18,52458.0,6273.18,0,0,1,0,0,0,0,0
18,2014-09-19,52084.0,6183.8,0,0,0,1,0,0,0,0
19,2014-09-20,58734.0,6775.06,0,0,0,0,1,0,0,0
20,2014-09-21,39272.0,4792.69,0,0,0,0,0,1,0,0
21,2014-09-22,66542.0,7942.71,0,0,0,0,0,0,0,0
22,2014-09-23,55534.0,6719.88,1,0,0,0,0,0,0,0
23,2014-09-24,51938.0,6209.7,0,1,0,0,0,0,0,0
24,2014-09-25,64540.0,7986.09,0,0,1,0,0,0,0,0
25,2014-09-26,57692.0,6554.81,0,0,0,1,0,0,0,0
26,2014-09-27,55368.0,6282.23,0,0,0,0,1,0,0,0
27,2014-09-28,49058.0,5724.52,0,0,0,0,0,1,0,0
28,2014-09-29,44296.0,5541.39,0,0,0,0,0,0,0,0
29,2014-09-30,54296.0,6547.76,1,0,0,0,0,0,0,0
30,2014-10-01,59712.0,7160.56,0,1,0,0,0,0,0,0
31,2014-10-02,23380.0,2855.62,0,0,1,0,0,0,0,0
32,2014-10-04,18322.0,2200.67,0,0,0,0,1,0,0,0
33,2014-10-05,52190.0,6029.47,0,0,0,0,0,1,0,0
34,2014-10-06,46718.0,5442.68,0,0,0,0,0,0,0,0
35,2014-10-07,60170.0,7089.95,1,0,0,0,0,0,0,0
36,2014-10-08,54410.0,6731.43,0,1,0,0,0,0,0,0
37,2014-10-09,49442.0,6123.61,0,0,1,0,0,0,0,0
38,2014-10-10,63460.0,7500.74,0,0,0,1,0,0,0,0
39,2014-10-11,45336.0,5260.66,0,0,0,0,1,0,0,0
40,2014-10-12,41382.0,4718.63,0,0,0,0,0,1,0,0
41,2014-10-13,56586.0,6837.03,0,0,0,0,0,0,0,0
42,2014-10-14,60146.0,7016.49,1,0,0,0,0,0,0,0
43,2014-10-15,53332.0,6427.28,0,1,0,0,0,0,0,0
44,2014-10-16,46794.0,5599.76,0,0,1,0,0,0,0,0
45,2014-10-17,52528.0,6064.29,0,0,0,1,0,0,0,0
46,2014-10-18,49514.0,5729.65,0,0,0,0,1,0,0,0
47,2014-10-19,40878.0,4741.36,0,0,0,0,0,1,0,0
48,2014-10-20,53850.0,5913.88,0,0,0,0,0,0,0,0
49,2014-10-21,50312.0,6019.26,1,0,0,0,0,0,0,0
50,2014-10-22,56402.0,6830.09,0,1,0,0,0,0,0,0
51,2014-10-23,42798.0,5471.13,0,0,1,0,0,0,0,0
52,2014-10-24,50330.0,5907.66,0,0,0,1,0,0,0,0
53,2014-10-25,52916.0,6116.78,0,0,0,0,1,0,0,0
54,2014-10-26,56462.0,6604.27,0,0,0,0,0,1,0,0
55,2014-10-27,50734.0,5767.82,0,0,0,0,0,0,0,0
56,2014-10-28,56006.0,6811.57,1,0,0,0,0,0,0,0
57,2014-10-29,52672.0,6304.29,0,1,0,0,0,0,0,0
58,2014-10-30,64750.0,7524.92,0,0,1,0,0,0,0,0
59,2014-10-31,61654.0,7393.35,0,0,0,1,0,0,0,0
60,2014-11-01,57164.0,7002.9,0,0,0,0,1,0,0,0
61,2014-11-02,62074.0,7289.08,0,0,0,0,0,1,0,0
62,2014-11-03,51586.0,8827.25,0,0,0,0,0,0,1,0
63,2014-11-04,50774.0,10226.57,1,0,0,0,0,0,1,0
64,2014-11-05,60006.0,11666.44,0,1,0,0,0,0,1,0
65,2014-11-06,46262.0,9358.79,0,0,1,0,0,0,1,0
66,2014-11-07,60188.0,11950.7,0,0,0,1,0,0,1,0
67,2014-11-08,46312.0,8875.31,0,0,0,0,1,0,1,0
68,2014-11-09,52108.0,9783.46,0,0,0,0,0,1,1,0
69,2014-11-10,49386.0,9661.61,0,0,0,0,0,0,1,0
70,2014-11-11,47706.0,9689.96,1,0,0,0,0,0,1,0
71,2014-11-12,63946.0,12296.53,0,1,0,0,0,0,1,0
72,2014-11-13,58866.0,11475.58,0,0,1,0,0,0,1,0
73,2014-11-14,48056.0,9553.19,0,0,0,1,0,0,1,0
74,2014-11-15,46618.0,9283.38,0,0,0,0,1,0,1,0
