Hour,Hands,Rake
2014-09-01 4:00,2978,358.2
2014-09-01 5:00,2236,213.42
2014-09-01 6:00,2718,252.67
2014-09-01 7:00,3002,301.99
2014-09-01 8:00,2818,301.73
2014-09-01 9:00,4502,478.35
2014-09-01 10:00,2776,269.63
2014-09-01 11:00,3822,421.02
2014-09-01 12:00,3314,389.25
2014-09-01 13:00,3076,359.28
2014-09-01 14:00,4466,538.08
2014-09-01 15:00,4472,508.66
2014-09-01 16:00,2652,348.37
2014-09-01 17:00,3720,411.13
2014-09-01 18:00,4662,552.41
2014-09-01 19:00,4366,561.43
2014-09-01 20:00,4606,557.81
2014-09-01 21:00,4818,573.12
2014-09-01 22:00,3708,431.79
2014-09-01 23:00,3198,373.74
2014-09-02 0:00,3456,388.42
2014-09-02 1:00,2394,295.14
2014-09-02 2:00,4930,554.69
2014-09-02 3:00,2248,231.95
2014-09-02 4:00,2434,232.29
2014-09-02 5:00,2348,291.89
2014-09-02 6:00,2944,363.92
2014-09-02 7:00,2920,370.95
2014-09-02 8:00,3178,373.96
2014-09-02 9:00,3896,413.75
2014-09-02 10:00,3806,456.97
2014-09-02 11:00,3554,429.55
2014-09-02 12:00,2874,338.25
2014-09-02 13:00,3352,395.38
2014-09-02 14:00,3200,399.84
2014-09-02 15:00,3154,364.73
2014-09-02 16:00,3494,413.4
2014-09-02 17:00,2486,337.07
2014-09-02 18:00,2504,323.15
2014-09-02 19:00,4432,465.87
2014-09-02 20:00,4146,449.85
2014-09-02 21:00,3450,369.77
2014-09-02 22:00,3244,378.38
2014-09-02 23:00,2762,324.64
2014-09-03 0:00,3292,374.96
2014-09-03 1:00,2992,295.91
2014-09-03 2:00,3458,370.62
2014-09-03 3:00,2904,291.39
2014-09-03 4:00,2280,228.64
2014-09-03 5:00,2396,247.53
2014-09-03 6:00,2972,359.38
2014-09-03 7:00,2844,336.68
2014-09-03 8:00,3256,397.72
2014-09-03 9:00,3226,398.09
2014-09-03 10:00,3542,440.4
2014-09-03 11:00,2692,340.54
2014-09-03 12:00,2786,352.66
2014-09-03 13:00,2166,251.83
2014-09-03 14:00,2848,388.31
2014-09-03 15:00,4406,542.04
2014-09-03 16:00,4438,578.92
2014-09-03 17:00,4510,466.22
2014-09-03 18:00,4054,490.87
2014-09-03 19:00,2388,298.21
2014-09-03 20:00,3162,352.18
2014-09-03 21:00,2946,363.52
2014-09-03 22:00,4330,564.78
2014-09-03 23:00,4424,518.63
2014-09-04 0:00,1636,184.35
2014-09-04 1:00,1388,165.08
2014-09-04 2:00,1906,264.38
2014-09-04 3:00,1556,199.04
2014-09-04 4:00,1540,163.75
2014-09-04 5:00,1346,118.62
2014-09-04 6:00,3092,322.04
2014-09-04 7:00,1748,210.1
2014-09-04 8:00,1880,245.71
2014-09-04 9:00,2166,291.79
2014-09-04 10:00,2108,286.66
2014-09-04 11:00,3550,432.74
2014-09-04 12:00,2004,287.57
2014-09-04 13:00,3074,364.51
2014-09-04 14:00,3666,482.19
